year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"桃園國際機場","大阪","中華",184,61620,49468,80.2791
2024,11,"桃園國際機場","大阪","中華",182,60786,52704,86.7042
2024,12,"桃園國際機場","大阪","中華",186,60348,53118,88.0195
2024,1,"桃園國際機場","大阪","中華",186,59598,48382,81.1806
2024,2,"桃園國際機場","大阪","中華",174,56428,50903,90.2088
2024,3,"桃園國際機場","大阪","中華",185,60556,56468,93.2492
2024,4,"桃園國際機場","大阪","中華",181,60148,53747,89.3579
2024,5,"桃園國際機場","大阪","中華",186,62014,49251,79.4192
2024,6,"桃園國際機場","大阪","中華",180,58284,52843,90.6647
2024,7,"桃園國際機場","大阪","中華",184,58310,48687,83.4968
2024,8,"桃園國際機場","大阪","中華",186,61006,51882,85.0441
2024,9,"桃園國際機場","大阪","中華",180,59138,40705,68.8305
2025,10,"桃園國際機場","大阪","中華",186,55816,47880,85.7819
2025,11,"桃園國際機場","大阪","中華",180,53944,48415,89.7505
2025,12,"桃園國際機場","大阪","中華",186,55396,49682,89.6852
2025,1,"桃園國際機場","大阪","中華",184,59022,49555,83.9602
2025,2,"桃園國際機場","大阪","中華",168,53618,46567,86.8496
2025,3,"桃園國際機場","大阪","中華",186,58988,50155,85.0258
2025,4,"桃園國際機場","大阪","中華",180,56960,48607,85.3353
2025,5,"桃園國際機場","大阪","中華",186,59208,44669,75.4442
2025,6,"桃園國際機場","大阪","中華",180,58034,44688,77.0031
2025,7,"桃園國際機場","大阪","中華",184,58684,39999,68.1600
2025,8,"桃園國際機場","大阪","中華",184,57778,47993,83.0645
2025,9,"桃園國際機場","大阪","中華",173,51709,38214,73.9020
2026,1,"桃園國際機場","大阪","中華",186,54366,48282,88.8092
2026,2,"桃園國際機場","大阪","中華",168,48004,45535,94.8567
2026,3,"桃園國際機場","大阪","中華",186,52772,51162,96.9491
2026,4,"桃園國際機場","大阪","中華",180,55893,49607,88.7535
2024,10,"桃園國際機場","大阪","長榮",186,63770,55049,86.3243
2024,11,"桃園國際機場","大阪","長榮",178,60754,54775,90.1587
2024,12,"桃園國際機場","大阪","長榮",186,63440,57117,90.0331
2024,1,"桃園國際機場","大阪","長榮",185,61967,51631,83.3202
2024,2,"桃園國際機場","大阪","長榮",174,59132,53778,90.9457
2024,3,"桃園國際機場","大阪","長榮",186,63146,58992,93.4216
2024,4,"桃園國際機場","大阪","長榮",180,61382,53312,86.8528
2024,5,"桃園國際機場","大阪","長榮",186,63454,55303,87.1545
2024,6,"桃園國際機場","大阪","長榮",180,61526,58916,95.7579
2024,7,"桃園國際機場","大阪","長榮",183,62574,54727,87.4596
2024,8,"桃園國際機場","大阪","長榮",186,63600,56482,88.8082
2024,9,"桃園國際機場","大阪","長榮",180,61576,50955,82.7514
2025,10,"桃園國際機場","大阪","長榮",185,63358,55140,87.0293
2025,11,"桃園國際機場","大阪","長榮",180,61646,53913,87.4558
