year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"桃園國際機場","大阪","中華",184,61620,49468,80.2791
2024,11,"桃園國際機場","大阪","中華",182,60786,52704,86.7042
2024,12,"桃園國際機場","大阪","中華",186,60348,53118,88.0195
2024,1,"桃園國際機場","大阪","中華",186,59598,48382,81.1806
2024,2,"桃園國際機場","大阪","中華",174,56428,50903,90.2088
2024,3,"桃園國際機場","大阪","中華",185,60556,56468,93.2492
2024,4,"桃園國際機場","大阪","中華",181,60148,53747,89.3579
2024,5,"桃園國際機場","大阪","中華",186,62014,49251,79.4192
2024,6,"桃園國際機場","大阪","中華",180,58284,52843,90.6647
2024,7,"桃園國際機場","大阪","中華",184,58310,48687,83.4968
2024,8,"桃園國際機場","大阪","中華",186,61006,51882,85.0441
2024,9,"桃園國際機場","大阪","中華",180,59138,40705,68.8305
2025,10,"桃園國際機場","大阪","中華",186,55816,47880,85.7819
2025,11,"桃園國際機場","大阪","中華",180,53944,48415,89.7505
2025,12,"桃園國際機場","大阪","中華",186,55396,49682,89.6852
2025,1,"桃園國際機場","大阪","中華",184,59022,49555,83.9602
2025,2,"桃園國際機場","大阪","中華",168,53618,46567,86.8496
2025,3,"桃園國際機場","大阪","中華",186,58988,50155,85.0258
2025,4,"桃園國際機場","大阪","中華",180,56960,48607,85.3353
2025,5,"桃園國際機場","大阪","中華",186,59208,44669,75.4442
2025,6,"桃園國際機場","大阪","中華",180,58034,44688,77.0031
2025,7,"桃園國際機場","大阪","中華",184,58684,39999,68.1600
2025,8,"桃園國際機場","大阪","中華",184,57778,47993,83.0645
2025,9,"桃園國際機場","大阪","中華",173,51709,38214,73.9020
2026,1,"桃園國際機場","大阪","中華",186,54366,48282,88.8092
2026,2,"桃園國際機場","大阪","中華",168,48004,45535,94.8567
2026,3,"桃園國際機場","大阪","中華",186,52772,51162,96.9491
2026,4,"桃園國際機場","大阪","中華",180,55893,49607,88.7535
2024,10,"桃園國際機場","首爾仁川","中華",123,38037,34136,89.7442
2024,11,"桃園國際機場","首爾仁川","中華",121,37805,34480,91.2049
2024,12,"桃園國際機場","首爾仁川","中華",124,38770,34413,88.7619
2024,1,"桃園國際機場","首爾仁川","中華",123,38355,35438,92.3947
2024,2,"桃園國際機場","首爾仁川","中華",119,37067,34327,92.6080
2024,3,"桃園國際機場","首爾仁川","中華",124,38464,35829,93.1494
2024,4,"桃園國際機場","首爾仁川","中華",120,37116,32968,88.8242
2024,5,"桃園國際機場","首爾仁川","中華",124,38632,29295,75.8309
2024,6,"桃園國際機場","首爾仁川","中華",120,37170,29862,80.3390
2024,7,"桃園國際機場","首爾仁川","中華",122,38006,26186,68.8996
2024,8,"桃園國際機場","首爾仁川","中華",124,37448,26643,71.1467
2024,9,"桃園國際機場","首爾仁川","中華",128,38870,28916,74.3916
2025,10,"桃園國際機場","首爾仁川","中華",132,39052,34089,87.2913
2025,11,"桃園國際機場","首爾仁川","中華",120,32278,31283,96.9174
