year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"桃園國際機場","大阪","星宇",124,37350,33492,89.6707
2024,11,"桃園國際機場","大阪","星宇",120,36180,31850,88.0321
2024,12,"桃園國際機場","大阪","星宇",124,37168,34396,92.5420
2024,1,"桃園國際機場","大阪","星宇",124,37152,31035,83.5352
2024,2,"桃園國際機場","大阪","星宇",116,33886,32123,94.7973
2024,3,"桃園國際機場","大阪","星宇",124,36968,34724,93.9299
2024,4,"桃園國際機場","大阪","星宇",120,36180,33657,93.0265
2024,5,"桃園國際機場","大阪","星宇",124,37386,33406,89.3543
2024,6,"桃園國際機場","大阪","星宇",120,36180,34704,95.9204
2024,7,"桃園國際機場","大阪","星宇",124,37386,34549,92.4116
2024,8,"桃園國際機場","大阪","星宇",124,37278,35240,94.5330
2024,9,"桃園國際機場","大阪","星宇",120,36144,31391,86.8498
2025,10,"桃園國際機場","大阪","星宇",124,37476,32564,86.8929
2025,11,"桃園國際機場","大阪","星宇",120,36180,31562,87.2360
2025,12,"桃園國際機場","大阪","星宇",124,37458,33684,89.9247
2025,1,"桃園國際機場","大阪","星宇",124,37386,32786,87.6959
2025,2,"桃園國際機場","大阪","星宇",112,33332,31071,93.2167
2025,3,"桃園國際機場","大阪","星宇",124,37404,32573,87.0843
2025,4,"桃園國際機場","大阪","星宇",120,36486,31824,87.2225
2025,5,"桃園國際機場","大阪","星宇",124,37926,30288,79.8608
2025,6,"桃園國際機場","大阪","星宇",120,36720,31165,84.8720
2025,7,"桃園國際機場","大阪","星宇",124,37926,31111,82.0308
2025,8,"桃園國際機場","大阪","星宇",123,37602,33203,88.3012
2025,9,"桃園國際機場","大阪","星宇",118,36072,27902,77.3509
2026,1,"桃園國際機場","大阪","星宇",124,37168,32620,87.7637
2026,2,"桃園國際機場","大阪","星宇",112,33822,32135,95.0121
2026,3,"桃園國際機場","大阪","星宇",124,37132,35166,94.7054
2026,4,"桃園國際機場","大阪","星宇",120,36684,31174,84.9798
2026,5,"桃園國際機場","大阪","星宇",124,37474,30674,81.8541
2024,10,"桃園國際機場","札幌","星宇",61,18117,16952,93.5696
2024,11,"桃園國際機場","札幌","星宇",61,12231,11642,95.1844
2024,12,"桃園國際機場","札幌","星宇",62,18414,18129,98.4523
2024,1,"桃園國際機場","札幌","星宇",62,18414,17800,96.6656
2024,2,"桃園國際機場","札幌","星宇",58,17226,16864,97.8985
2024,3,"桃園國際機場","札幌","星宇",62,18196,16676,91.6465
2024,4,"桃園國際機場","札幌","星宇",60,15858,12411,78.2633
2024,5,"桃園國際機場","札幌","星宇",62,17760,13579,76.4583
2024,6,"桃園國際機場","札幌","星宇",60,16294,15341,94.1512
2024,7,"桃園國際機場","札幌","星宇",62,18414,17887,97.1380
2024,8,"桃園國際機場","札幌","星宇",62,18414,17845,96.9100
2024,9,"桃園國際機場","札幌","星宇",60,17166,15345,89.3918
2025,10,"桃園國際機場","札幌","星宇",62,18414,16004,86.9121
2025,11,"桃園國際機場","札幌","星宇",60,17820,16179,90.7912
2025,12,"桃園國際機場","札幌","星宇",62,18414,17529,95.1939
2025,1,"桃園國際機場","札幌","星宇",62,18414,18284,99.2940
2025,2,"桃園國際機場","札幌","星宇",56,16632,16491,99.1522
2025,3,"桃園國際機場","札幌","星宇",62,18414,17240,93.6244
2025,4,"桃園國際機場","札幌","星宇",60,17820,13352,74.9270
2025,5,"桃園國際機場","札幌","星宇",62,18414,13796,74.9213
2025,6,"桃園國際機場","札幌","星宇",60,17820,14501,81.3749
2025,7,"桃園國際機場","札幌","星宇",62,18414,17278,93.8308
2025,8,"桃園國際機場","札幌","星宇",62,18414,16883,91.6857
2025,9,"桃園國際機場","札幌","星宇",60,17820,14467,81.1841
2026,1,"桃園國際機場","札幌","星宇",62,18414,17584,95.4926
2026,2,"桃園國際機場","札幌","星宇",56,16632,16255,97.7333
2026,3,"桃園國際機場","札幌","星宇",62,18468,18319,99.1932
2026,4,"桃園國際機場","札幌","星宇",60,18090,15939,88.1095
2026,5,"桃園國際機場","札幌","星宇",62,18810,16143,85.8214
2024,10,"桃園國際機場","吉隆坡","星宇",56,10528,8712,82.7508
2024,11,"桃園國際機場","吉隆坡","星宇",42,7896,7091,89.8050
2024,12,"桃園國際機場","吉隆坡","星宇",44,8272,7816,94.4874
2024,1,"桃園國際機場","吉隆坡","星宇",62,11656,8999,77.2049
2024,2,"桃園國際機場","吉隆坡","星宇",58,10904,9649,88.4905
2024,3,"桃園國際機場","吉隆坡","星宇",62,11656,9681,83.0559
2024,4,"桃園國際機場","吉隆坡","星宇",60,11280,8809,78.0940
2024,5,"桃園國際機場","吉隆坡","星宇",62,11656,8254,70.8133
2024,6,"桃園國際機場","吉隆坡","星宇",60,11280,9648,85.5319
2024,7,"桃園國際機場","吉隆坡","星宇",60,11280,10247,90.8422
2024,8,"桃園國際機場","吉隆坡","星宇",58,10904,9603,88.0686
2024,9,"桃園國際機場","吉隆坡","星宇",54,10152,8213,80.9003
2025,10,"桃園國際機場","吉隆坡","星宇",44,8272,7161,86.5691
2025,11,"桃園國際機場","吉隆坡","星宇",44,8272,7183,86.8351
2025,12,"桃園國際機場","吉隆坡","星宇",44,8272,7691,92.9763
2025,1,"桃園國際機場","吉隆坡","星宇",42,7896,7195,91.1221
