year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"桃園國際機場","大阪","台灣虎航",135,24300,22339,91.9300
2024,11,"桃園國際機場","大阪","台灣虎航",129,23220,21247,91.5030
2024,12,"桃園國際機場","大阪","台灣虎航",130,23400,21460,91.7094
2024,1,"桃園國際機場","大阪","台灣虎航",108,19440,16612,85.4527
2024,2,"桃園國際機場","大阪","台灣虎航",98,17640,16334,92.5964
2024,3,"桃園國際機場","大阪","台灣虎航",108,19440,17917,92.1656
2024,4,"桃園國際機場","大阪","台灣虎航",122,21960,16128,73.4426
2024,5,"桃園國際機場","大阪","台灣虎航",122,21960,17559,79.9590
2024,6,"桃園國際機場","大阪","台灣虎航",136,24480,22045,90.0531
2024,7,"桃園國際機場","大阪","台灣虎航",145,26100,24092,92.3065
2024,8,"桃園國際機場","大阪","台灣虎航",140,25200,23544,93.4286
2024,9,"桃園國際機場","大阪","台灣虎航",138,24840,22204,89.3881
2025,10,"桃園國際機場","大阪","台灣虎航",124,22320,20341,91.1335
2025,11,"桃園國際機場","大阪","台灣虎航",120,21600,19134,88.5833
2025,12,"桃園國際機場","大阪","台灣虎航",124,22320,20677,92.6389
2025,1,"桃園國際機場","大阪","台灣虎航",134,24120,21499,89.1335
2025,2,"桃園國際機場","大阪","台灣虎航",120,21600,20323,94.0880
2025,3,"桃園國際機場","大阪","台灣虎航",135,24300,22295,91.7490
2025,4,"桃園國際機場","大阪","台灣虎航",120,21600,19014,88.0278
2025,5,"桃園國際機場","大阪","台灣虎航",124,22320,19996,89.5878
2025,6,"桃園國際機場","大阪","台灣虎航",120,21600,20259,93.7917
2025,7,"桃園國際機場","大阪","台灣虎航",125,22500,20731,92.1378
2025,8,"桃園國際機場","大阪","台灣虎航",124,22320,21168,94.8387
2025,9,"桃園國際機場","大阪","台灣虎航",118,21240,19660,92.5612
2026,1,"桃園國際機場","大阪","台灣虎航",124,22320,20276,90.8423
2026,2,"桃園國際機場","大阪","台灣虎航",112,20160,19054,94.5139
2026,3,"桃園國際機場","大阪","台灣虎航",126,22680,21230,93.6067
2026,4,"桃園國際機場","大阪","台灣虎航",136,24480,22286,91.0376
2026,5,"桃園國際機場","大阪","台灣虎航",142,25560,23352,91.3615
2024,10,"桃園國際機場","首爾仁川","台灣虎航",61,10980,9349,85.1457
2024,11,"桃園國際機場","首爾仁川","台灣虎航",59,10620,9364,88.1733
2024,12,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9964,89.2832
2024,1,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9957,89.2204
2024,2,"桃園國際機場","首爾仁川","台灣虎航",58,10440,9417,90.2011
2024,3,"桃園國際機場","首爾仁川","台灣虎航",62,11160,8862,79.4086
2024,4,"桃園國際機場","首爾仁川","台灣虎航",58,10440,8754,83.8506
2024,5,"桃園國際機場","首爾仁川","台灣虎航",62,11160,8056,72.1864
2024,6,"桃園國際機場","首爾仁川","台灣虎航",60,10800,8145,75.4167
2024,7,"桃園國際機場","首爾仁川","台灣虎航",62,11160,8732,78.2437
2024,8,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9163,82.1057
2024,9,"桃園國際機場","首爾仁川","台灣虎航",60,10800,8023,74.2870
2025,10,"桃園國際機場","首爾仁川","台灣虎航",62,11160,8948,80.1792
2025,11,"桃園國際機場","首爾仁川","台灣虎航",60,10800,9794,90.6852
2025,12,"桃園國際機場","首爾仁川","台灣虎航",62,11160,10767,96.4785
2025,1,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9515,85.2599
2025,2,"桃園國際機場","首爾仁川","台灣虎航",56,10080,9123,90.5060
2025,3,"桃園國際機場","首爾仁川","台灣虎航",62,11160,8762,78.5125
2025,4,"桃園國際機場","首爾仁川","台灣虎航",60,10800,9498,87.9444
2025,5,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9616,86.1649
2025,6,"桃園國際機場","首爾仁川","台灣虎航",60,10800,9382,86.8704
2025,7,"桃園國際機場","首爾仁川","台灣虎航",62,11160,9525,85.3495
2025,8,"桃園國際機場","首爾仁川","台灣虎航",62,11160,10068,90.2151
2025,9,"桃園國際機場","首爾仁川","台灣虎航",58,10440,8970,85.9195
2026,1,"桃園國際機場","首爾仁川","台灣虎航",62,11160,10570,94.7133
2026,2,"桃園國際機場","首爾仁川","台灣虎航",56,10080,9581,95.0496
2026,3,"桃園國際機場","首爾仁川","台灣虎航",62,11160,10277,92.0878
2026,4,"桃園國際機場","首爾仁川","台灣虎航",60,10800,9637,89.2315
2026,5,"桃園國際機場","首爾仁川","台灣虎航",62,11160,10321,92.4821
2024,10,"桃園國際機場","札幌","台灣虎航",61,10980,9031,82.2495
2024,11,"桃園國際機場","札幌","台灣虎航",59,10620,9033,85.0565
2024,12,"桃園國際機場","札幌","台灣虎航",62,11160,10854,97.2581
2024,1,"桃園國際機場","札幌","台灣虎航",62,11160,10989,98.4677
2024,2,"桃園國際機場","札幌","台灣虎航",58,10440,10284,98.5057
2024,3,"桃園國際機場","札幌","台灣虎航",62,11160,10724,96.0932
2024,4,"桃園國際機場","札幌","台灣虎航",60,10800,9392,86.9630
2024,5,"桃園國際機場","札幌","台灣虎航",62,11160,9233,82.7330
2024,6,"桃園國際機場","札幌","台灣虎航",60,10800,9203,85.2130
2024,7,"桃園國際機場","札幌","台灣虎航",62,11160,9808,87.8853
2024,8,"桃園國際機場","札幌","台灣虎航",62,11160,10273,92.0520
2024,9,"桃園國際機場","札幌","台灣虎航",60,10800,8627,79.8796
2025,10,"桃園國際機場","札幌","台灣虎航",62,11160,9532,85.4122
2025,11,"桃園國際機場","札幌","台灣虎航",60,10800,8186,75.7963
2025,12,"桃園國際機場","札幌","台灣虎航",62,11160,10344,92.6882
2025,1,"桃園國際機場","札幌","台灣虎航",62,11160,10799,96.7652
2025,2,"桃園國際機場","札幌","台灣虎航",80,14400,14086,97.8194
2025,3,"桃園國際機場","札幌","台灣虎航",62,11160,10671,95.6183
2025,4,"桃園國際機場","札幌","台灣虎航",60,10800,9103,84.2870
2025,5,"桃園國際機場","札幌","台灣虎航",62,11160,8805,78.8978
2025,6,"桃園國際機場","札幌","台灣虎航",60,10800,8923,82.6204
2025,7,"桃園國際機場","札幌","台灣虎航",62,11160,9609,86.1022
2025,8,"桃園國際機場","札幌","台灣虎航",61,10980,10534,95.9381
2025,9,"桃園國際機場","札幌","台灣虎航",58,10440,8588,82.2605
2026,1,"桃園國際機場","札幌","台灣虎航",62,11160,10534,94.3907
2026,2,"桃園國際機場","札幌","台灣虎航",56,10080,9783,97.0536
2026,3,"桃園國際機場","札幌","台灣虎航",62,11160,11015,98.7007
2026,4,"桃園國際機場","札幌","台灣虎航",46,8280,7703,93.0314
2026,5,"桃園國際機場","札幌","台灣虎航",42,7560,6668,88.2011
2024,10,"桃園國際機場","名古屋","台灣虎航",44,7920,6699,84.5833
2024,11,"桃園國際機場","名古屋","台灣虎航",44,7920,6670,84.2172
2024,12,"桃園國際機場","名古屋","台灣虎航",44,7920,6896,87.0707
2024,1,"桃園國際機場","名古屋","台灣虎航",46,8280,7693,92.9106
2024,2,"桃園國際機場","名古屋","台灣虎航",40,7200,6907,95.9306
2024,3,"桃園國際機場","名古屋","台灣虎航",44,7920,7463,94.2298
2024,4,"桃園國際機場","名古屋","台灣虎航",44,7920,7110,89.7727
2024,5,"桃園國際機場","名古屋","台灣虎航",44,7920,7246,91.4899
2024,6,"桃園國際機場","名古屋","台灣虎航",42,7560,7233,95.6746
2024,7,"桃園國際機場","名古屋","台灣虎航",46,8280,7805,94.2633
2024,8,"桃園國際機場","名古屋","台灣虎航",44,7920,7427,93.7753
2024,9,"桃園國際機場","名古屋","台灣虎航",42,7560,6331,83.7434
2025,10,"桃園國際機場","名古屋","台灣虎航",47,8460,7228,85.4374
2025,11,"桃園國際機場","名古屋","台灣虎航",61,10980,9616,87.5774
2025,12,"桃園國際機場","名古屋","台灣虎航",62,11160,10259,91.9265
2025,1,"桃園國際機場","名古屋","台灣虎航",44,7920,7088,89.4949
2025,2,"桃園國際機場","名古屋","台灣虎航",40,7200,6717,93.2917
2025,3,"桃園國際機場","名古屋","台灣虎航",44,7920,7257,91.6288
2025,4,"桃園國際機場","名古屋","台灣虎航",44,7920,5845,73.8005
2025,5,"桃園國際機場","名古屋","台灣虎航",44,7920,6364,80.3535
2025,6,"桃園國際機場","名古屋","台灣虎航",42,7560,6038,79.8677
2025,7,"桃園國際機場","名古屋","台灣虎航",44,7920,6435,81.2500
2025,8,"桃園國際機場","名古屋","台灣虎航",44,7920,7149,90.2652
2025,9,"桃園國際機場","名古屋","台灣虎航",42,7560,6510,86.1111
2026,1,"桃園國際機場","名古屋","台灣虎航",62,11160,10230,91.6667
2026,2,"桃園國際機場","名古屋","台灣虎航",56,10080,9386,93.1151
2026,3,"桃園國際機場","名古屋","台灣虎航",62,11160,10481,93.9158
2026,4,"桃園國際機場","名古屋","台灣虎航",59,10620,9199,86.6196
2026,5,"桃園國際機場","名古屋","台灣虎航",63,11340,9773,86.1817
2024,10,"桃園國際機場","東京羽田","台灣虎航",62,11160,9525,85.3495
2024,11,"桃園國際機場","東京羽田","台灣虎航",58,10440,9463,90.6418
2024,12,"桃園國際機場","東京羽田","台灣虎航",62,11160,10219,91.5681
2024,1,"桃園國際機場","東京羽田","台灣虎航",62,11160,9881,88.5394
2024,2,"桃園國際機場","東京羽田","台灣虎航",58,10440,10025,96.0249
2024,3,"桃園國際機場","東京羽田","台灣虎航",62,11160,10649,95.4211
2024,4,"桃園國際機場","東京羽田","台灣虎航",60,10800,9986,92.4630
2024,5,"桃園國際機場","東京羽田","台灣虎航",62,11160,10164,91.0753
2024,6,"桃園國際機場","東京羽田","台灣虎航",60,10800,10145,93.9352
2024,7,"桃園國際機場","東京羽田","台灣虎航",62,11160,10316,92.4373
2024,8,"桃園國際機場","東京羽田","台灣虎航",60,10800,10229,94.7130
2024,9,"桃園國際機場","東京羽田","台灣虎航",60,10800,10099,93.5093
2025,10,"桃園國際機場","東京羽田","台灣虎航",62,11160,9472,84.8746
2025,11,"桃園國際機場","東京羽田","台灣虎航",60,10800,9271,85.8426
2025,12,"桃園國際機場","東京羽田","台灣虎航",62,11160,10234,91.7025
2025,1,"桃園國際機場","東京羽田","台灣虎航",62,11160,9588,85.9140
2025,2,"桃園國際機場","東京羽田","台灣虎航",56,10080,9742,96.6468
2025,3,"桃園國際機場","東京羽田","台灣虎航",62,11160,10423,93.3961
2025,4,"桃園國際機場","東京羽田","台灣虎航",60,10800,9105,84.3056
2025,5,"桃園國際機場","東京羽田","台灣虎航",63,11340,9630,84.9206
2025,6,"桃園國際機場","東京羽田","台灣虎航",60,10800,9039,83.6944
2025,7,"桃園國際機場","東京羽田","台灣虎航",61,10980,8629,78.5883
2025,8,"桃園國際機場","東京羽田","台灣虎航",62,11160,9958,89.2294
2025,9,"桃園國際機場","東京羽田","台灣虎航",58,10440,8930,85.5364
2026,1,"桃園國際機場","東京羽田","台灣虎航",62,11160,9870,88.4409
2026,2,"桃園國際機場","東京羽田","台灣虎航",56,10080,9582,95.0595
2026,3,"桃園國際機場","東京羽田","台灣虎航",62,11160,10544,94.4803
2026,4,"桃園國際機場","東京羽田","台灣虎航",60,10800,9404,87.0741
2026,5,"桃園國際機場","東京羽田","台灣虎航",62,11160,9046,81.0573
2024,10,"桃園國際機場","東京成田","台灣虎航",174,31320,25049,79.9777
2024,11,"桃園國際機場","東京成田","台灣虎航",122,21960,20274,92.3224
2024,12,"桃園國際機場","東京成田","台灣虎航",124,22320,20654,92.5358
2024,1,"桃園國際機場","東京成田","台灣虎航",124,22320,20357,91.2052
2024,2,"桃園國際機場","東京成田","台灣虎航",116,20880,19834,94.9904
2024,3,"桃園國際機場","東京成田","台灣虎航",185,33300,30810,92.5225
