year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,12,"花蓮機場","香港","香港快運",24,4320,2993,69.2824
2025,10,"花蓮機場","香港","香港快運",34,6120,2343,38.2843
2025,11,"花蓮機場","香港","香港快運",34,6120,1164,19.0196
2025,12,"花蓮機場","香港","香港快運",34,6120,1557,25.4412
2025,1,"花蓮機場","香港","香港快運",40,7200,4263,59.2083
2025,2,"花蓮機場","香港","香港快運",38,6840,4644,67.8947
2025,3,"花蓮機場","香港","香港快運",36,6480,3754,57.9321
2025,4,"花蓮機場","香港","香港快運",34,6120,4012,65.5556
2025,5,"花蓮機場","香港","香港快運",36,6480,3208,49.5062
2025,6,"花蓮機場","香港","香港快運",34,6120,2586,42.2549
2025,7,"花蓮機場","香港","香港快運",34,6120,2782,45.4575
2025,8,"花蓮機場","香港","香港快運",32,5760,3364,58.4028
2025,9,"花蓮機場","香港","香港快運",32,5760,1789,31.0590
2026,1,"花蓮機場","香港","香港快運",6,1080,239,22.1296
