year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"高雄國際機場","河內","越南",57,11533,9013,78.1497
2024,11,"高雄國際機場","河內","越南",61,12085,9185,76.0033
2024,12,"高雄國際機場","河內","越南",62,12586,8889,70.6261
2024,1,"高雄國際機場","河內","越南",62,12586,5595,44.4542
2024,2,"高雄國際機場","河內","越南",58,11774,7142,60.6591
2024,3,"高雄國際機場","河內","越南",62,12586,9896,78.6270
2024,4,"高雄國際機場","河內","越南",60,12180,9310,76.4368
2024,5,"高雄國際機場","河內","越南",62,12586,8926,70.9201
2024,6,"高雄國際機場","河內","越南",60,12180,8597,70.5829
2024,7,"高雄國際機場","河內","越南",62,12586,9774,77.6577
2024,8,"高雄國際機場","河內","越南",62,12586,9323,74.0744
2024,9,"高雄國際機場","河內","越南",60,12180,8840,72.5780
2025,10,"高雄國際機場","河內","越南",66,13398,11686,87.2220
2025,11,"高雄國際機場","河內","越南",86,17458,14097,80.7481
2025,12,"高雄國際機場","河內","越南",88,17864,12536,70.1747
2025,1,"高雄國際機場","河內","越南",62,12586,7976,63.3720
2025,2,"高雄國際機場","河內","越南",56,11368,8026,70.6017
2025,3,"高雄國際機場","河內","越南",62,12586,9616,76.4024
2025,4,"高雄國際機場","河內","越南",60,12180,9789,80.3695
2025,5,"高雄國際機場","河內","越南",62,12586,8527,67.7499
2025,6,"高雄國際機場","河內","越南",60,12180,7775,63.8342
2025,7,"高雄國際機場","河內","越南",62,12586,9393,74.6305
2025,8,"高雄國際機場","河內","越南",62,12586,9866,78.3887
2025,9,"高雄國際機場","河內","越南",60,12180,8725,71.6338
2026,1,"高雄國際機場","河內","越南",90,18270,10497,57.4548
2026,2,"高雄國際機場","河內","越南",80,16240,10781,66.3855
2026,3,"高雄國際機場","河內","越南",88,17864,12724,71.2270
2026,4,"高雄國際機場","河內","越南",79,16037,12671,79.0110
2024,10,"高雄國際機場","河內","越捷",34,7820,6717,85.8951
2024,11,"高雄國際機場","河內","越捷",60,13800,9745,70.6159
2024,12,"高雄國際機場","河內","越捷",62,14260,9217,64.6353
2024,1,"高雄國際機場","河內","越捷",62,13800,8317,60.2681
2024,2,"高雄國際機場","河內","越捷",58,13340,9354,70.1199
2024,3,"高雄國際機場","河內","越捷",62,14260,11860,83.1697
2024,4,"高雄國際機場","河內","越捷",46,10580,8779,82.9773
2024,5,"高雄國際機場","河內","越捷",36,8280,7027,84.8671
2024,6,"高雄國際機場","河內","越捷",34,7820,6393,81.7519
2024,7,"高雄國際機場","河內","越捷",34,7820,6979,89.2455
2024,8,"高雄國際機場","河內","越捷",34,7820,6695,85.6138
2024,9,"高雄國際機場","河內","越捷",36,8280,6603,79.7464
2025,10,"高雄國際機場","河內","越捷",38,8740,7100,81.2357
2025,11,"高雄國際機場","河內","越捷",30,6900,5379,77.9565
2025,12,"高雄國際機場","河內","越捷",58,13140,7194,54.7489
2025,1,"高雄國際機場","河內","越捷",62,14260,7835,54.9439
2025,2,"高雄國際機場","河內","越捷",56,12880,8492,65.9317
2025,3,"高雄國際機場","河內","越捷",62,14260,9775,68.5484
2025,4,"高雄國際機場","河內","越捷",60,13800,10224,74.0870
2025,5,"高雄國際機場","河內","越捷",62,14260,9692,67.9663
2025,6,"高雄國際機場","河內","越捷",58,13140,9650,73.4399
2025,7,"高雄國際機場","河內","越捷",60,13800,10783,78.1377
2025,8,"高雄國際機場","河內","越捷",46,10580,8574,81.0397
2025,9,"高雄國際機場","河內","越捷",34,7720,6476,83.8860
2026,1,"高雄國際機場","河內","越捷",56,12880,7565,58.7345
2026,2,"高雄國際機場","河內","越捷",56,12880,9211,71.5140
2026,3,"高雄國際機場","河內","越捷",62,14260,11095,77.8050
2026,4,"高雄國際機場","河內","越捷",54,12320,9394,76.2500
2024,10,"高雄國際機場","胡志明市","越南",57,11165,9003,80.6359
