year,month,airport,destination,airline,flights,seats,passengers,load_factor
2024,10,"臺中清泉崗機場","香港","香港快運",170,36152,26897,74.3998
2024,11,"臺中清泉崗機場","香港","香港快運",180,38460,29069,75.5824
2024,12,"臺中清泉崗機場","香港","香港快運",186,39632,33036,83.3569
2024,1,"臺中清泉崗機場","香港","香港快運",156,28224,23206,82.2208
2024,2,"臺中清泉崗機場","香港","香港快運",168,30980,24835,80.1646
2024,3,"臺中清泉崗機場","香港","香港快運",158,28568,24576,86.0263
2024,4,"臺中清泉崗機場","香港","香港快運",180,36488,27093,74.2518
2024,5,"臺中清泉崗機場","香港","香港快運",182,34124,23849,69.8892
2024,6,"臺中清泉崗機場","香港","香港快運",178,35252,27818,78.9118
2024,7,"臺中清泉崗機場","香港","香港快運",181,35342,27669,78.2893
2024,8,"臺中清泉崗機場","香港","香港快運",186,37656,30806,81.8090
2024,9,"臺中清泉崗機場","香港","香港快運",180,35764,24320,68.0013
2025,10,"臺中清泉崗機場","香港","香港快運",186,40184,35030,87.1740
2025,11,"臺中清泉崗機場","香港","香港快運",180,38636,32721,84.6904
2025,12,"臺中清泉崗機場","香港","香港快運",186,39012,35658,91.4026
2025,1,"臺中清泉崗機場","香港","香港快運",184,39316,31884,81.0968
2025,2,"臺中清泉崗機場","香港","香港快運",166,36360,30117,82.8300
2025,3,"臺中清泉崗機場","香港","香港快運",186,38188,31799,83.2696
2025,4,"臺中清泉崗機場","香港","香港快運",180,41512,36157,87.1001
2025,5,"臺中清泉崗機場","香港","香港快運",186,42860,36344,84.7970
2025,6,"臺中清泉崗機場","香港","香港快運",180,41588,36040,86.6596
2025,7,"臺中清泉崗機場","香港","香港快運",180,41072,33806,82.3091
2025,8,"臺中清泉崗機場","香港","香港快運",184,40400,36922,91.3911
2025,9,"臺中清泉崗機場","香港","香港快運",174,39948,30898,77.3455
2026,1,"臺中清泉崗機場","香港","香港快運",186,38364,31841,82.9971
2026,2,"臺中清泉崗機場","香港","香港快運",186,39960,35467,88.7563
2026,3,"臺中清泉崗機場","香港","香港快運",192,41296,34487,83.5117
2026,4,"臺中清泉崗機場","香港","香港快運",240,52292,39201,74.9656
2024,10,"臺中清泉崗機場","香港","香港",42,6560,5387,82.1189
2024,11,"臺中清泉崗機場","香港","香港",38,6392,4816,75.3442
2024,12,"臺中清泉崗機場","香港","香港",52,8388,6999,83.4406
2024,7,"臺中清泉崗機場","香港","香港",18,2736,2277,83.2237
2024,8,"臺中清泉崗機場","香港","香港",50,7600,6605,86.9079
2024,9,"臺中清泉崗機場","香港","香港",34,5388,3975,73.7751
2025,1,"臺中清泉崗機場","香港","香港",54,8736,7357,84.2147
2025,2,"臺中清泉崗機場","香港","香港",50,8260,6679,80.8596
2025,3,"臺中清泉崗機場","香港","香港",62,10084,8330,82.6061
2025,4,"臺中清泉崗機場","香港","香港",58,9916,7243,73.0436
2025,5,"臺中清泉崗機場","香港","香港",20,3348,1992,59.4982
2024,10,"臺中清泉崗機場","胡志明市","華信",62,9796,7322,74.7448
2024,11,"臺中清泉崗機場","胡志明市","華信",60,9480,6825,71.9937
2024,12,"臺中清泉崗機場","胡志明市","華信",62,9796,7358,75.1123
2024,1,"臺中清泉崗機場","胡志明市","華信",62,9796,6592,67.2928
2024,2,"臺中清泉崗機場","胡志明市","華信",58,9164,8207,89.5570
2024,3,"臺中清泉崗機場","胡志明市","華信",62,9796,9428,96.2434
2024,4,"臺中清泉崗機場","胡志明市","華信",60,9480,8822,93.0591
2024,5,"臺中清泉崗機場","胡志明市","華信",62,9796,8415,85.9024
2024,6,"臺中清泉崗機場","胡志明市","華信",60,9480,8726,92.0464
2024,7,"臺中清泉崗機場","胡志明市","華信",61,9638,8866,91.9900
2024,8,"臺中清泉崗機場","胡志明市","華信",62,9796,8654,88.3422
2024,9,"臺中清泉崗機場","胡志明市","華信",60,9480,7507,79.1878
2025,10,"臺中清泉崗機場","胡志明市","華信",54,8532,7565,88.6662
2025,11,"臺中清泉崗機場","胡志明市","華信",60,9480,7522,79.3460
2025,12,"臺中清泉崗機場","胡志明市","華信",62,9796,7758,79.1956
2025,1,"臺中清泉崗機場","胡志明市","華信",62,9796,7359,75.1225
2025,2,"臺中清泉崗機場","胡志明市","華信",56,8848,7541,85.2283
2025,3,"臺中清泉崗機場","胡志明市","華信",62,9796,7343,74.9592
2025,4,"臺中清泉崗機場","胡志明市","華信",60,9480,7252,76.4979
2025,5,"臺中清泉崗機場","胡志明市","華信",60,9480,6948,73.2911
2025,6,"臺中清泉崗機場","胡志明市","華信",42,6636,5712,86.0759
2025,7,"臺中清泉崗機場","胡志明市","華信",60,9480,8459,89.2300
2025,8,"臺中清泉崗機場","胡志明市","華信",58,9164,8275,90.2990
2025,9,"臺中清泉崗機場","胡志明市","華信",60,9480,7279,76.7827
2026,1,"臺中清泉崗機場","胡志明市","華信",62,9796,7340,74.9285
2026,2,"臺中清泉崗機場","胡志明市","華信",56,8848,8265,93.4109
2026,3,"臺中清泉崗機場","胡志明市","華信",62,9796,8863,90.4757
2026,4,"臺中清泉崗機場","胡志明市","華信",58,9164,8348,91.0956
