year,month,airport,destination,airline,flights,seats,passengers,load_factor
2025,12,"臺南機場","沖繩","台灣虎航",4,720,706,98.0556
2026,1,"臺南機場","沖繩","台灣虎航",18,3240,3223,99.4753
2026,2,"臺南機場","沖繩","台灣虎航",16,2880,2795,97.0486
2026,3,"臺南機場","沖繩","台灣虎航",18,3240,3119,96.2654
2026,4,"臺南機場","沖繩","台灣虎航",18,3240,3190,98.4568
2026,5,"臺南機場","沖繩","台灣虎航",18,3240,3243,100.0926
2025,12,"臺南機場","熊本","台灣虎航",6,1080,764,70.7407
2026,1,"臺南機場","熊本","台灣虎航",18,3240,2144,66.1728
2026,2,"臺南機場","熊本","台灣虎航",16,2880,2219,77.0486
2026,3,"臺南機場","熊本","台灣虎航",18,3240,2320,71.6049
2026,4,"臺南機場","熊本","台灣虎航",16,2880,2128,73.8889
2026,5,"臺南機場","熊本","台灣虎航",18,3240,2701,83.3642
